alpha,cl,cd,cm
-4.048,-0.2123,0.01245,-0.03653
-4.047,-0.2099,0.0111,-0.03561
-3.037,-0.1375,0.01052,-0.03381
-2.023,-0.0698,0.00977,-0.02474
-1.01,0.0165,0.01101,-0.02266
0.002,0.1166,0.01263,-0.02592
1.015,0.2428,0.01199,-0.03258
2.026,0.3262,0.01178,-0.03165
3.039,0.4143,0.00988,-0.02977
4.051,0.4951,0.00824,-0.02828
5.064,0.5935,0.00877,-0.02824
6.076,0.6785,0.00924,-0.02743
7.088,0.7625,0.00919,-0.02583
8.097,0.83,0.01631,-0.02437
9.111,0.9323,0.01646,-0.024
10.322,0.9835,0.01885,-0.01756
10.522,0.9833,0.01832,-0.01758
10.721,0.981,0.02062,-0.01768
10.921,0.9832,0.02106,-0.01823
11.122,0.9876,0.02051,-0.01851
11.322,0.9899,0.02211,-0.01825
11.526,1.0092,0.0237,-0.01688
11.727,1.0124,0.02373,-0.01509
11.93,1.0317,0.02277,-0.01438
12.331,1.0321,0.02463,-0.01304
12.53,1.0223,0.02441,-0.01214
12.729,1.0151,0.02864,-0.01142
12.929,1.0127,0.03172,-0.01207
13.128,1.0131,0.0331,-0.01292
13.327,1.0089,0.03121,-0.01399
13.525,0.9964,0.03418,-0.01429
13.724,0.991,0.03233,-0.01524
13.923,0.9655,0.03354,-0.01178
14.121,0.9568,0.03804,-0.01262
14.317,0.9396,0.0371,-0.01522
14.679,0.9879,0.12508,-0.05673
14.688,0.961,0.16657,-0.07837
14.88,0.9471,0.16883,-0.08807
15.075,0.9212,0.1828,-0.0914
15.268,0.8895,0.18891,-0.09593
15.465,0.8871,0.18314,-0.10047
15.663,0.8713,0.19254,-0.10201
15.857,0.8325,0.19761,-0.10269
16.054,0.8052,0.19181,-0.10137
16.252,0.8015,0.18968,-0.1034
16.451,0.7911,0.19966,-0.10251
16.649,0.7764,0.19758,-0.10306
16.847,0.7646,0.20894,-0.10355
17.046,0.753,0.21475,-0.10228
16.549,0.7766,0.20646,-0.10329
16.053,0.8045,0.18986,-0.10228
15.564,0.8818,0.18893,-0.1016
15.075,0.9243,0.17783,-0.09247
14.591,0.9676,0.15582,-0.07399
14.121,0.9808,0.03084,-0.01924
13.619,1.0203,0.03134,-0.03179
13.118,1.0313,0.02624,-0.03647
12.616,1.0343,0.02915,-0.04081
12.113,1.0372,0.02417,-0.04712
11.609,1.0044,0.02623,-0.04571
11.112,1.0109,0.02385,-0.04233
10.617,1.0062,0.01625,-0.03099
10.115,0.9739,0.0211,-0.02811
9.612,0.9415,0.0182,-0.02435
9.11,0.9249,0.01416,-0.02377
8.605,0.8883,0.01219,-0.02438
8.099,0.842,0.0128,-0.02465
6.076,0.6779,0.01163,-0.0271
4.052,0.5062,0.01078,-0.02861
2.027,0.3321,0.0106,-0.03192
0.002,0.1176,0.01087,-0.02539
