# x, Cp
0.000000, -0.007551
0.356260, -0.009774
1.333310, -0.074823
3.661080, -0.158385
7.292200, -0.242790
11.356040, -0.328192
15.591350, -0.441116
19.913280, -0.537251
24.284430, -0.636912
28.686270, -0.728026
33.105180, -0.836733
37.531280, -0.922748
41.959910, -1.036285
46.387930, -1.129967
50.815600, -1.246187
55.248600, -1.254314
59.692230, -1.284404
64.136850, -1.254927
68.579000, -1.275971
73.024010, -1.302994
77.473570, -1.301959
81.931140, -1.304413
86.385890, -1.313650
90.810800, -1.336918
100.000000, -1.335116
0.000000, -1.334349
0.431230, -1.321547
1.471470, -1.317292
3.924790, -1.288850
7.795060, -1.265315
12.014300, -1.255732
16.322760, -1.218704
20.670130, -1.213989
25.037920, -1.168873
29.415540, -1.109843
33.797720, -1.191949
38.186750, -1.114443
42.575270, -1.073198
46.962780, -1.001826
51.350620, -0.910137
55.736620, -0.892812
60.120750, -0.826422
64.505020, -0.763444
68.890100, -0.714111
73.280110, -0.691841
77.677830, -0.680840
82.079650, -0.625298
86.479780, -0.613568
100.000000, -0.610732
