# x, Cp
0.000000, 0.054699
0.356260, 0.051019
1.333310, -0.007935
3.661080, -0.094793
7.292200, -0.200971
11.356040, -0.301897
15.591350, -0.437436
19.913280, -0.550628
24.284430, -0.669992
28.686270, -0.781383
33.105180, -0.918839
37.531280, -1.027048
41.959910, -1.163085
46.387930, -1.270988
50.815600, -1.465634
55.248600, -1.448155
59.692230, -1.489361
64.136850, -1.460612
68.579000, -1.487789
73.024010, -1.520831
77.473570, -1.522747
81.931140, -1.529110
86.385890, -1.545976
90.810800, -1.569972
100.000000, -1.575530
0.000000, -1.579401
0.431230, -1.573153
1.471470, -1.581203
3.924790, -1.556057
7.795060, -1.532215
12.014300, -1.528037
16.322760, -1.488288
20.670130, -1.492849
25.037920, -1.442213
29.415540, -1.379542
33.797720, -1.364094
38.186750, -1.214449
42.575270, -1.134375
46.962780, -1.057483
51.350620, -0.948277
55.736620, -0.928000
60.120750, -0.857164
64.505020, -0.792690
68.890100, -0.743281
73.280110, -0.718213
77.677830, -0.704068
82.079650, -0.653816
86.479780, -0.638637
100.000000, -0.632619
