  Run_nr,    Time,   Alpha,Delta_Pb,   P_bar,       T,     rpm,     rho,    P001,    P002,    P003,    P004,    P005,    P006,    P007,    P008,    P009,    P010,    P011,    P012,    P013,    P014,    P015,    P016,    P017,    P018,    P019,    P020,    P021,    P022,    P023,    P024,    P025,    P026,    P027,    P028,    P029,    P030,    P031,    P032,    P033,    P034,    P035,    P036,    P037,    P038,    P039,    P040,    P041,    P042,    P043,    P044,    P045,    P046,    P047,    P048,    P049,    P050,    P051,    P052,    P053,    P054,    P055,    P056,    P057,    P058,    P059,    P060,    P061,    P062,    P063,    P064,    P065,    P066,    P067,    P068,    P069,    P070,    P071,    P072,    P073,    P074,    P075,    P076,    P077,    P078,    P079,    P080,    P081,    P082,    P083,    P084,    P085,    P086,    P087,    P088,    P089,    P090,    P091,    P092,    P093,    P094,    P095,    P096,    P097,    P098,    P099,    P100,    P101,    P102,    P103,    P104,    P105,    P106,    P107,    P108,    P109,    P110,    P111,    P112,    P113
       /,   H:M:S, degrees,      Pa,      Pa, degr._C,   1/min,  kg/m^3,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa,      Pa
1, 15:23:48,-4,132.51,1006.28,21.65,885.06,1.189,-13.69,217.35,235.23,130.6,56.09,14.27,-1.97,-26.73,-39.21,-47.24,-39.03,-50.23,-52.51,-54.29,-49.09,-43.21,-36.85,-27.82,-19.21,-14.59,-10.45,-5.73,-3.53,19.77,22.8,-12.61,-507.9,-348.1,-248.72,-193.82,-144.06,-114.88,-99.16,-89.22,-80.7,-73.33,-66.74,-60.36,-53.92,-47.91,-41.94,-35.33,-28.43,-20.47,-12.21,-2.97,6.62,16.26,22.8,280.98,281.21,281.83,282.71,281.22,280.76,282.24,281.57,281.73,281.79,281.54,281.53,281.93,281.49,281.12,281.89,281.61,282.9,282.46,281.94,281.02,277.95,268.8,265.17,259.78,262.78,262.75,264.3,268.17,273.81,274.17,273.43,272.07,269.31,274.25,277.9,280.58,281.83,282.29,283,281.98,281.76,282.11,281.65,283.15,281.61,281.92,281.73,15.25,13.64,14.71,14.43,14.49,15.6,15.6,15.36,16.06,15.68,15.81,12.49,0.37,0.14,0.2,0.25
2, 15:24:04,-4,137.41,1006.33,21.69,884.65,1.189,-15.95,220.19,240.18,133,56.57,13.31,-2.55,-27.71,-39.71,-47.78,-40.5,-51.23,-53.63,-55.4,-50.26,-43.63,-37.55,-28.9,-19.68,-15.15,-11.05,-6.23,-3.89,20.23,22.51,-14.38,-519.9,-355.63,-255.05,-198.76,-145.62,-117.86,-101.79,-91.77,-82.85,-75.28,-68.59,-62.02,-55.45,-49.28,-43.29,-36.52,-29.49,-21.33,-12.96,-3.52,6.27,16.02,22.51,286.16,286.18,286.68,287.79,286.3,285.96,287.1,286.61,286.93,286.98,286.63,286.82,286.81,286.41,286.17,287.07,286.36,287.8,287.51,287.34,283.56,271.84,247.53,233.56,233.66,256.56,272.12,280.84,284.31,287,286.88,287.33,285.95,286.19,285.59,285.6,285.93,286.04,286.21,286.89,285.82,285.44,285.74,285.45,286.92,285.77,285.58,285.51,15,13.62,14.69,14.44,14.49,15.26,15.44,15.35,16.13,15.58,15.6,12.48,-0.08,0.14,0.2,0.27
3, 15:24:32,-3,134.73,1006.33,21.74,885.16,1.189,81.41,217.79,213.77,101.8,28.06,-2.07,-19.52,-44.1,-53.86,-60.14,-53.79,-61.85,-62.34,-62.55,-55.96,-49.48,-41.49,-32.76,-24.43,-20.1,-16.89,-12.51,-3.22,29.68,20.1,78.9,-358.27,-272.7,-197.63,-151.17,-123.89,-105.69,-92.05,-82.82,-75.12,-68.33,-62.53,-57.29,-51.66,-45.76,-38.78,-30.98,-23.42,-15.58,-8.03,0.53,9.45,18.8,20.1,283.76,283.97,284.5,285.57,284.12,283.66,284.87,284.46,284.58,284.6,284.26,284.59,284.68,284.32,283.96,284.69,284.43,285.74,285.29,284.1,276.34,259.63,241.11,241.83,251.11,270.47,278.54,281.92,282.78,284.88,284.63,285.1,284.25,283.38,283.89,283.85,284.23,284.45,284.45,285.16,284.21,283.9,284.17,283.77,285.1,283.89,283.98,284,14.88,14.1,15.13,14.73,14.65,15.56,15.43,15.35,16.17,15.58,15.5,13.05,0.29,0.11,0.19,0.22
4, 15:25:05,-2,133.68,1006.22,21.8,885.02,1.188,169.12,209.83,182.98,69.71,5.75,-24.73,-41.32,-60.48,-70.76,-72.68,-63.72,-71.61,-70.47,-69.48,-61.45,-54.21,-45.89,-38.15,-30.96,-26.67,-24.24,-18.83,17.71,33.3,18.47,165.3,-211.95,-193.33,-148.93,-118.58,-98.89,-84.62,-75,-67.85,-61.84,-56.32,-51.56,-47.21,-42.4,-38.22,-33.84,-29.13,-24.47,-19.63,-15.5,-10.99,-4.37,12.87,18.47,281.85,282.1,282.67,283.6,282.22,281.66,283.12,282.48,282.69,282.8,282.36,282.77,282.84,282.62,282.03,282.74,282.33,283.5,281.99,276.17,262.44,249.08,243.54,254.11,263.13,276.97,279.87,280.51,280.66,282.87,282.54,282.89,282.44,281.22,282.03,282.08,282.37,282.51,282.68,283.13,282.48,282.06,282.45,281.82,283.32,281.92,282.23,282.17,14.64,14.39,15.41,14.97,14.8,15.71,14.67,15.56,16.03,15.37,15.3,13.48,-0.05,0.12,0.21,0.25
5, 15:25:26,-1,135.66,1006.36,21.83,885.32,1.188,235.36,193,147.78,34.62,-24.2,-52.43,-63.34,-79.89,-87.26,-87.87,-76.85,-84.94,-82.74,-79.27,-70.85,-61.45,-52.78,-45.24,-39.56,-35.19,-32.54,-8.79,21.55,31.89,20.09,234.51,-80.33,-119.01,-103.25,-89.08,-76.1,-67.05,-58.89,-53.81,-49.69,-45.6,-41.9,-38.42,-34.6,-31.01,-27.18,-22.82,-18.1,-13.08,-8.67,-4.33,-0.69,4.2,20.09,284.96,285.06,285.58,286.5,285.12,284.76,286.01,285.44,285.75,285.93,285.47,286.41,285.79,285.31,285.06,285.81,284.64,284.32,278.94,265.6,250.53,250.44,257.68,271.13,275.78,284.2,284.12,283.83,283.91,285.93,285.66,286.06,285.98,284.77,285.69,285.54,285.94,286.17,286.23,286.8,285.97,285.36,285.86,285.41,286.95,285.76,285.68,285.85,14.55,14.94,15.97,15.45,14.07,16.13,15.55,15.86,16.05,15.31,15.25,14.14,0.52,0.12,0.21,0.24
6, 15:25:53,0,131.23,1006.28,21.87,884.33,1.188,269.12,153.68,96.17,-2.72,-58.89,-78.76,-85.62,-98.24,-103.48,-101.72,-89.94,-94.78,-92.38,-86.73,-77.33,-68.92,-59.62,-53.09,-48.45,-46.01,-41.42,6.56,19.49,27.57,32.93,265.52,35.31,-42.89,-55.85,-56.31,-50.92,-45.17,-41.11,-38.21,-35.78,-33.21,-30.73,-28.48,-25.51,-22.81,-19.6,-15.65,-11.16,-6.28,-1.7,2.91,6.48,8.79,32.93,279.2,279.32,279.88,280.65,279.42,279.01,280.34,279.83,280.05,280.21,279.73,280.44,280.1,279.84,279.61,279.67,277.23,272.47,261.63,247.42,243.21,249.84,256.78,268.42,273.05,279.98,278.94,278.17,277.98,280.31,279.91,280.16,280.05,278.41,279.58,279.23,279.93,280.07,280.32,280.54,279.94,279.69,280.07,279.53,280.84,279.32,280.05,280.09,13.51,14.64,15.58,14.96,12.4,15.49,14.65,14.95,15.17,14.35,14.22,13.95,-0.42,0.13,0.17,0.2
7, 15:26:22,1,134.26,1006.26,21.9,884.87,1.188,281.83,103.75,35.72,-56.07,-101.56,-114.12,-115.08,-127.6,-126.86,-123.58,-108.64,-112.54,-108.24,-101.61,-91.5,-83.67,-73.54,-67.69,-62.87,-60.51,-25.39,1.76,10.97,20.32,27.36,278.66,142.69,32.35,-5.38,-19.36,-22.04,-21.33,-21.18,-20.23,-19.64,-18.41,-17.15,-15.65,-13.78,-11.69,-9.14,-5.64,-1.4,3.28,8.14,13.43,17.29,19.7,27.36,284.22,284.5,284.98,285.85,284.43,284.05,285.33,284.78,285.09,285.32,284.79,285.58,285.01,284.61,284.32,283.57,275.55,260.01,244.22,246.01,260,274.44,280.46,285.45,283.26,285.98,284.51,283.22,283.3,285.24,285.19,285.55,285.41,283.4,284.95,284.62,285.29,285.54,285.61,286.12,285.45,284.95,285.32,284.75,286.27,285.04,285.08,285.45,12.96,15.4,16.28,15.44,14.22,15.63,15.16,14.87,14.95,13.9,13.78,14.9,-0.24,0.12,0.17,0.23
8, 15:26:41,2,135.21,1006.24,21.94,884.71,1.188,273.59,43.09,-20.28,-102.7,-136.71,-143.65,-140.16,-146.27,-143.87,-139.46,-120.84,-124.44,-118.52,-109.37,-98.95,-91.42,-82.74,-77.18,-72.69,-63.3,-10.75,-0.2,8.84,20.45,32.97,269.46,207.79,86.03,32.72,7.81,0.24,-2.92,-5.61,-6.65,-7.63,-7.81,-7.66,-7.32,-6.45,-5.29,-3.7,-1.14,2.21,6.17,10.67,16.15,20.87,24.4,32.97,283.82,283.9,284.42,285.32,284,283.53,284.82,284.26,284.67,284.75,284.33,285.17,284.97,284.33,283.46,277.71,259.74,242.6,243.33,257.5,273.35,281.88,283.31,285.35,282.92,285.43,284.09,282.63,282.79,284.69,284.62,284.88,284.53,282.8,284.03,283.83,284.44,284.77,284.77,285.25,284.57,284.1,284.44,283.78,285.35,284.09,284.24,284.79,12.22,15.39,16.19,15.24,13.89,15.28,14.66,14.41,14.34,13.22,13.08,15.01,-0.49,0.13,0.18,0.23
9, 15:27:13,3,134.73,1006.27,21.97,884.87,1.188,226.61,-18.58,-88.58,-154.64,-177.47,-174.79,-166.16,-167.78,-162.21,-155.84,-135.43,-135.92,-127.91,-120.04,-108.59,-101.19,-93.16,-89.42,-86.36,-24.69,-14.82,-3.4,7.28,19.82,36.63,225.16,252.9,136.54,69.02,35.24,21.33,14.58,9.94,7.2,4.67,3.05,1.99,1.21,1.37,1.51,2.3,3.96,6.4,9.55,13.31,18.39,23.2,27.49,36.63,285.47,285.75,286.23,287.3,285.73,285.43,286.55,286.04,286.49,286.45,286.06,286.91,287.15,285.87,280.35,260.94,243.16,243.54,258.87,274.67,284.04,286.09,285.39,286.99,284.6,287.11,285.83,284.51,284.61,286.43,286.45,286.75,285.29,285.97,284.66,284.53,285.13,285.39,285.54,285.97,285.25,284.68,285.12,284.67,285.96,284.78,284.92,285.62,11.99,15.85,16.64,15.5,13.8,15.55,14.83,14.55,14.21,13.02,12.9,15.63,0.06,0.13,0.18,0.23
