  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 16:19:25	  -4.000	  135.00	 1005.79	   22.42	   0.422	  -2.714	  -0.171	   885.4	   1.185
       2	 16:19:42	  -3.000	  135.27	 1005.82	   22.51	   0.379	  -1.711	  -0.170	   884.6	   1.185
       3	 16:20:12	  -2.607	  135.75	 1005.85	   22.62	   0.378	  -1.188	  -0.163	   885.0	   1.185
       4	 16:21:26	  -4.000	  134.33	 1005.86	   22.75	   0.428	  -2.732	  -0.178	   884.8	   1.184
       5	 16:21:44	  -3.000	  136.37	 1005.82	   22.77	   0.374	  -1.706	  -0.167	   884.7	   1.184
       6	 16:22:04	  -2.000	  135.45	 1005.76	   22.77	   0.361	  -0.636	  -0.155	   885.1	   1.184
       7	 16:22:19	  -1.000	  136.81	 1005.83	   22.80	   0.371	   0.569	  -0.137	   885.1	   1.184
       8	 16:22:31	   0.000	  136.27	 1005.82	   22.81	   0.392	   1.849	  -0.131	   885.1	   1.184
       9	 16:22:50	   1.000	  136.58	 1005.79	   22.83	   0.433	   3.666	  -0.114	   884.5	   1.184
      10	 16:23:02	   2.000	  135.55	 1005.80	   22.84	   0.473	   4.880	  -0.103	   885.1	   1.184
      11	 16:23:12	   3.000	  136.40	 1005.82	   22.86	   0.531	   6.110	  -0.097	   884.9	   1.184
      12	 16:23:26	   4.000	  136.70	 1005.82	   22.88	   0.590	   7.461	  -0.094	   884.7	   1.184
      13	 16:23:38	   5.000	  137.44	 1005.82	   22.89	   0.676	   8.762	  -0.100	   884.7	   1.184
      14	 16:23:53	   6.000	  137.05	 1005.80	   22.90	   0.763	  10.051	  -0.107	   885.2	   1.184
      15	 16:24:03	   7.000	  137.95	 1005.86	   22.92	   0.866	  11.404	  -0.111	   885.0	   1.184
      16	 16:24:15	   8.000	  134.97	 1005.78	   22.94	   0.986	  12.495	  -0.123	   885.0	   1.183
      17	 16:24:30	   9.000	  134.30	 1005.79	   22.96	   1.115	  13.600	  -0.138	   884.8	   1.183
      18	 16:24:47	  10.000	  134.71	 1005.83	   22.98	   1.268	  14.703	  -0.160	   884.9	   1.183
      19	 16:25:03	  11.000	  136.49	 1005.77	   22.98	   1.427	  15.621	  -0.178	   884.5	   1.183
      20	 16:25:19	  12.000	  133.69	 1005.80	   22.99	   1.587	  16.071	  -0.209	   884.5	   1.183
      21	 16:25:33	  13.000	  134.89	 1005.80	   23.00	   1.798	  16.905	  -0.241	   884.9	   1.183
      22	 16:25:46	  14.000	  135.05	 1005.80	   23.02	   2.025	  17.034	  -0.261	   884.9	   1.183
      23	 16:26:08	  14.200	  134.13	 1005.80	   23.02	   2.075	  16.854	  -0.261	   885.0	   1.183
      24	 16:26:22	  14.400	  134.45	 1005.79	   23.04	   2.163	  16.942	  -0.264	   884.8	   1.183
      25	 16:26:36	  14.600	  134.56	 1005.81	   23.06	   2.233	  17.004	  -0.266	   884.8	   1.183
      26	 16:26:58	  14.600	  132.89	 1005.81	   23.08	   2.183	  16.578	  -0.263	   884.8	   1.183
      27	 16:27:10	  14.800	  137.22	 1005.78	   23.09	   2.285	  16.936	  -0.270	   884.9	   1.183
      28	 16:27:22	  15.000	  135.61	 1005.74	   23.09	   2.389	  17.003	  -0.271	   885.0	   1.183
      29	 16:27:35	  15.200	  135.47	 1005.69	   23.10	   2.429	  16.693	  -0.270	   884.8	   1.183
